Clave,Descripción,Unidad,Familia,Subfamilia,Región,Costo máquina,Valor llantas,Valor piezas especiales,Rescate %,Vida económica (años),Horas de uso anual,Interés anual %,Seguros anual %,Mantenimiento %
EQV00.008,"Camión de volteo Ford S-1834 de 7.00 m3 y 13.00 toneladas con motor diesel Perkins de 132 H.P.carter de 13.50 litros, llantas 1000-20 para ciudad y carretera. (Hora activa).",h,,,,"1,176,482.77","34,507.59",0.00,10.00,6.00,"1,500.00",16.00,3.00,75.00
EQV00.009,"Camión de volteo Ford S-1834 de 7.00 m3 y 13.00 toneladas con motor diesel Perkins de 132 H.P.carter de 13.50 litros, llantas 1000-20 para ciudad y carretera (Hora inactiva)",h,,,,"1,176,482.77","34,507.59",0.00,10.00,6.00,"1,500.00",16.00,3.00,75.00
EQV00.010,"Camión grúa, chasis caseta ""DINA"" modelo 5311-G diesel Perkins de 131 H.P.y 8.40 toneladas grúa ""Munck"" modelo 760 con pluma de 6.00 m de longitud y momento de carga de 7 toneladas por metro.",h,,,,"591,798.43","34,507.59",0.00,20.00,7.30,"1,885.00",16.00,3.00,75.00
EQV00.013,"Camión pipa de 8 m3, con chasis Famsa diesel perkins 132 h. p. tanque, pasillo lateral, barra para riego de terracerías, con válvula reguladora y bomba de 3"" de diámetro, Carter de 8 l., llantas 1000-20 para ciudad y carretera.",h,,,,"1,365,560.34","34,507.59","9,433.92",10.00,5.00,"1,800.00",16.00,3.00,65.00
EQV00.014,"Camión pipa de 8 m3, con chasis Famsa diesel perkins 132 h. p. tanque, pasillo lateral, barra para riego de terracerías, con válvula reguladora y bomba de 3"" de diámetro, Carter de 8 l., llantas 1000-20 para ciudad y carretera. (Hora inactiva)",h,,,,"1,384,487.46","34,507.59",0.00,10.00,5.00,"1,800.00",16.00,3.00,65.00
EQV00.015,"Cargador frontal sobre neumáticos marca Clark-Michigan con capacidad de cucharón de 1.34 m3, con motor diesel Perkins modelo 6.354 de 103 H.P. carter de 18.9 litros.",h,,,,"2,356,216.00","27,418.46",0.00,20.00,10.00,"1,600.00",16.00,3.00,60.00
EQV00.016,"Carpeteadora Finisher marca Barber-Greene modelo Hydrostatic Sb-131, con motor diesel Ford 2712-e de 95 H.P. para 2.44 m de carpeta (carter de 12.5 litros).",h,,,,"4,030,648.12","198,285.15",0.00,20.00,8.00,"1,000.00",16.00,3.00,65.00
EQV00.017,"Compactador de impacto, bailarina, marca Bosch, modelo 18-942, con motor de 4.2 H.P. para mezcla de aceite gasolina 1:25, sin carter.",h,,,,"128,952.22",0.00,0.00,10.00,2.80,700.00,16.00,3.00,80.00
EQV00.020,Duo-Pactor Seaman-Gunnison,h,,,,"1,343,549.38","391,493.22",0.00,20.00,10.00,"1,600.00",16.00,3.00,50.00
EQV00.021,Motoconformadora compac motor diesel dina cummins v6-378c de 140 h.p. carter de 20 litros,h,,,,"3,582,798.33","87,755.92",0.00,20.00,8.00,"1,500.00",16.00,3.00,75.00
EQV00.023,"Petrolizadora ""Seaman-Gunnison"" de 4.32 m3 sobre chasis ""Ford"" con motor diesel ""Perkins"" de 132 H.P. (llantas 1000-20 para ciudad y carretera, carter de 13.50 l.).",h,,,,"1,816,228.56","34,507.59",0.00,20.00,4.00,"2,000.00",16.00,3.00,70.00
EQV00.024,"Petrolizadora ""Seaman-Gunnison"" de 4.32 m3 sobre chasis ""Ford"" con motor diesel ""Perkins"" de 132 H.P. (llantas 1000-20 para ciudad y carretera, carter de 13.50 l.). (Hora inactiva).",h,,,,"1,791,399.17","34,507.59",0.00,20.00,4.00,"2,000.00",16.00,3.00,70.00
EQV00.025,"Plancha ""Huber"" modelo E-10-14-H, con capacidad de 10 a 14 toneladas, con motor diesel de 88 H.P., carter de 15.00 litros.",h,,,,"1,455,511.81","20,882.50",0.00,20.00,10.00,"1,600.00",16.00,3.00,90.00
EQV00.027,"Retroexcavadora marca ""Yumbo"", modelo 630 L (antes Y-90) sobre orugas, con motor diesel ""International"" D-358 de 103 H.P., carter de 11.50 litros.",h,,,,"3,134,948.53",0.00,0.00,20.00,10.00,"1,600.00",16.00,3.00,60.00
EQV00.028,"Revolvedora ""Elba"" de un saco, tipo trompo modelo RTB-320 con capacidad de mezcla de 320.00 litros y motor de gasolina de 8 H.P., carter de 1.18 litros.",h,,,,"50,241.43",0.00,0.00,15.00,3.00,650.00,16.00,3.00,27.00
EQV00.029,"Tractor Komatsu, modelo D-155-A1, con cuchilla y desgarrador Ripper, con motor diesel Cummins Komatsu S6D155-4 de 320 H.P.carter de 71.00 litros.",h,,,,"15,573,780.33",0.00,0.00,20.00,7.00,"2,000.00",16.00,3.00,75.00
EQV00.030,"Vibrador ""ELBA"", modelo V.G.A. con chicote de 4.00m. por 38mm. (1 1/2"") y",h,,,,"17,776.34",0.00,0.00,15.00,1.00,"1,000.00",16.00,3.00,30.00
EQV00.086,"Nivel para medición K+E, tipo ""DUMPY"", modelo 503",h,,,,"23,565.55",0.00,0.00,15.00,4.00,"1,200.00",16.00,3.00,90.00
EQV00.087,"Transito para medición K+E, modelo CH5",h,,,,"27,107.22",0.00,0.00,15.00,4.00,"1,200.00",16.00,3.00,90.00
EQ00.022,"Soldadora marca Lincoln 300 amp. marca Lincoln, modelo ARCWELD 300 CD",h,,,,"46,332.44",0.00,0.00,10.00,5.00,"1,400.00",16.00,3.00,90.00
EQ00.030,"Bomba autocebante con succión y descarga de 102 cm ( 4 "" ) motor a gasolina de 8 H.P. marca Honda, para liquidos y solidos con malla de filtrado marca WACKER modelo PT-8B",h,,,,"18,279.64",0.00,0.00,15.00,1.00,"1,000.00",16.00,3.00,30.00
EQV00.240,Cortadora de disco.,h,,,,"6,171.40",0.00,0.00,15.00,1.00,750.00,16.00,3.00,30.00
EQV00.245,Pulidora de piso de marmol,h,,,,"22,589.34",0.00,0.00,15.00,1.00,750.00,16.00,3.00,30.00
